"","csde_values.average_csde","input_values.average_input"
"CHRM4",289.019556854351,149.819138363004
"CHRM5",80.8386471082984,34.0427105775554
"CHRNA1",17.1514951364692,68.1559541625646
"CHRNA10",1.99545283136097,4.71902807907601
"CHRNA2",18.7383716408738,45.5912820403499
"CHRNA3",80.6766374426813,69.9901263591474
"CHRNA4",779.105737738048,329.061425581752
"CHRNA5",151.7696853165,156.228922730848
"CHRNA6",0,0.484025973305807
"CHRNA7",583.563162627636,325.160702895888
"CHRNA9",10.8557832984251,23.0131204740545
"CHRNB1",26.8122313931219,46.4213751954972
"CHRNB2",3776.37290805646,1452.8475564189
"CHRNB3",1.76885880497549,1.75970578954393
"CHRNB4",9.78449414330608,16.5261533010094
"CHRND",0.803424885070855,8.92995684600558
"CHRNE",4.86265693280799,9.23707852439069
"CHRNG",0.156173594539576,2.71900094729223
"CHST1",2310.49642390308,972.226749508699
"CHST10",2267.71337649752,985.772323169727
"CHST11",1675.23050304377,711.185519681927
"CHST12",477.587645397387,235.113383298939
"CHST13",0.309329649175521,0.316189873942434
"CHST14",151.723940076293,76.8916824755567
"CHST15",1502.44130009629,840.1915173639
"CHST2",6416.94549517118,1503.09566807074
"CHST3",454.456340435754,171.97182044992
"CHST4",0,0.157172133204854
"CHST6",47.0437918258079,19.1210765931355
"CHST7",141.895279487978,43.2644662389059
"CHST8",180.192932686996,66.7566962740388
"CHST9",9.24675976176165,6.29749747739834
"CHSY1",3236.44797042038,1264.06297640246
"CHSY3",470.83627762242,436.453166613344
"CHTF18",165.304544586526,48.1966758815533
"CHTF8",1223.84500467978,983.628167892625
"Chtop",1662.81742664327,2078.3494384016
"CHUK",438.307949925998,919.165599673155
"CHURC1",180.166747745223,454.233689345155
"CIAO1",406.634275265502,323.213396841662
"CIAPIN1",1952.23120058467,912.530545386214
"CIART",38.7059302735493,46.165325545393
"CIB1",126.199052355047,66.8115279910083
"CIB2",200.652988158268,153.572073147147
"CIB3",0,0.516268924229378
"CIB4",0,0.150327200370963
"CIC",13412.5891427211,4746.40517163066
